threshold,precision,recall,f1
0.05,0.1776,0.9859,0.3010
0.10,0.2342,0.9774,0.3778
0.15,0.2760,0.9686,0.4296
0.20,0.3103,0.9601,0.4691
0.25,0.3399,0.9518,0.5009
0.30,0.3661,0.9423,0.5273
0.35,0.3907,0.9326,0.5507
0.40,0.4149,0.9232,0.5725
0.45,0.4376,0.9119,0.5914
0.50,0.4599,0.9005,0.6088
0.55,0.4830,0.8885,0.6258
0.60,0.5050,0.8738,0.6401
0.65,0.5291,0.8569,0.6542
0.70,0.5538,0.8363,0.6664
0.75,0.5811,0.8099,0.6767
0.80,0.6119,0.7777,0.6849
0.85,0.6461,0.7311,0.6860
0.90,0.6907,0.6609,0.6755
0.95,0.7531,0.5294,0.6217
